Note;GiocattoliRotti;Parolacce;VisiteNonni;MediaVoti;NN
0;2;5;25;9;TRUE
1;0;2;23;10;TRUE
1;1;3;18;9,2;TRUE
1;5;24;11;6,8;FALSE
0;0;5;25;8,59;TRUE
0;1;7;19;7,82;TRUE
2;1;8;12;9,2;TRUE
0;0;1;22;8,79;TRUE
5;10;26;2;5,5;FALSE
1;0;2;25;7,6;TRUE
1;1;5;31;6,8;TRUE
1;0;6;29;5,67;TRUE
0;2;4;25;8,2;TRUE
0;3;5;21;9,1;TRUE
2;0;9;25;3,2;TRUE
0;2;8;12;9,45;FALSE
8;6;35;7;4,7;FALSE
0;0;1;18;9,6;TRUE
0;1;3;21;8,1;TRUE
1;1;5;25;6,3;TRUE
2;0;10;18;5,9;TRUE
0;1;3;25;6,7;TRUE
1;1;2;25;7,8;TRUE
9;4;46;10;5,7;FALSE
2;0;6;22;9,77;TRUE
0;2;5;17;5,89;TRUE
6;6;34;8;6,2;FALSE
1;1;4;17;9,1;TRUE
2;2;5;26;6,7;TRUE
1;0;6;15;8,66;TRUE
0;1;6;25;9;TRUE
1;0;2;22;9,5;TRUE
1;2;2;16;9,2;TRUE
11;5;20;10;6,4;FALSE
1;2;5;25;8,59;TRUE
2;1;8;24;7,5;TRUE
2;2;8;17;9,2;TRUE
1;0;5;12;8,66;TRUE
0;1;5;15;9;TRUE
1;0;2;17;9,5;TRUE
1;2;2;15;9,2;TRUE
7;5;18;10;6,4;FALSE
1;2;5;21;8,59;TRUE
1;1;8;22;7,5;TRUE
2;3;8;23;9,2;TRUE
1;1;3;21;8,1;TRUE
2;1;6;24;6,3;TRUE
3;0;15;17;6,1;TRUE
1;1;3;22;6,7;TRUE
1;1;2;25;7,8;TRUE
10;4;32;2;5,7;FALSE
1;0;5;21;9,22;TRUE